,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.0759192705154419,random_no_constants,0,50,10,90,50,20,60,2,80,2
1,train,transformer,Misrankings score,0.707977207977208,random_no_constants,0,50,10,90,50,20,60,2,80,2
2,train,transformer,Loss,0.8469757845992323,random_no_constants,0,50,10,90,50,20,60,2,80,2
3,train,dummy,MSE,0.13018916547298431,random_no_constants,0,50,10,90,50,20,60,2,80,2
4,train,dummy,Misrankings score,0.5189814814814815,random_no_constants,0,50,10,90,50,20,60,2,80,2
5,train,dummy,Loss,0.672358205486407,random_no_constants,0,50,10,90,50,20,60,2,80,2
6,val,transformer,MSE,0.07651855051517487,random_no_constants,0,50,10,90,50,20,60,2,80,2
7,val,transformer,Misrankings score,0.7190713101160863,random_no_constants,0,50,10,90,50,20,60,2,80,2
8,val,transformer,Loss,0.8445571328079886,random_no_constants,0,50,10,90,50,20,60,2,80,2
9,val,dummy,MSE,0.137015700340271,random_no_constants,0,50,10,90,50,20,60,2,80,2
10,val,dummy,Misrankings score,0.5091210613598673,random_no_constants,0,50,10,90,50,20,60,2,80,2
11,val,dummy,Loss,0.646504781821567,random_no_constants,0,50,10,90,50,20,60,2,80,2
12,tune,transformer,MSE,0.08392214775085449,random_no_constants,0,50,10,90,50,20,60,2,80,2
13,tune,transformer,Misrankings score,0.6955223880597015,random_no_constants,0,50,10,90,50,20,60,2,80,2
14,tune,transformer,Loss,0.8443185083958628,random_no_constants,0,50,10,90,50,20,60,2,80,2
15,tune,dummy,MSE,0.129734069108963,random_no_constants,0,50,10,90,50,20,60,2,80,2
16,tune,dummy,Misrankings score,0.547927031509121,random_no_constants,0,50,10,90,50,20,60,2,80,2
17,tune,dummy,Loss,0.7010409014040917,random_no_constants,0,50,10,90,50,20,60,2,80,2
18,test,transformer,MSE,0.08392214775085449,random_no_constants,0,50,10,90,50,20,60,2,80,2
19,test,transformer,Misrankings score,0.6955223880597015,random_no_constants,0,50,10,90,50,20,60,2,80,2
20,test,transformer,Loss,0.8443185083958628,random_no_constants,0,50,10,90,50,20,60,2,80,2
21,test,dummy,MSE,0.129734069108963,random_no_constants,0,50,10,90,50,20,60,2,80,2
22,test,dummy,Misrankings score,0.547927031509121,random_no_constants,0,50,10,90,50,20,60,2,80,2
23,test,dummy,Loss,0.7010409014040917,random_no_constants,0,50,10,90,50,20,60,2,80,2
24,test,ELA,Loss,0.8604296044191724,random_no_constants,0,50,10,90,50,20,60,2,80,2
0,train,transformer,MSE,0.07973722368478775,random_no_constants,1,50,10,70,40,30,100,2,80,1
1,train,transformer,Misrankings score,0.6896723646723647,random_no_constants,1,50,10,70,40,30,100,2,80,1
2,train,transformer,Loss,0.8339414852881202,random_no_constants,1,50,10,70,40,30,100,2,80,1
3,train,dummy,MSE,0.12870526313781738,random_no_constants,1,50,10,70,40,30,100,2,80,1
4,train,dummy,Misrankings score,0.5246438746438746,random_no_constants,1,50,10,70,40,30,100,2,80,1
5,train,dummy,Loss,0.6767790993451307,random_no_constants,1,50,10,70,40,30,100,2,80,1
6,val,transformer,MSE,0.08969538658857346,random_no_constants,1,50,10,70,40,30,100,2,80,1
7,val,transformer,Misrankings score,0.681592039800995,random_no_constants,1,50,10,70,40,30,100,2,80,1
8,val,transformer,Loss,0.8563485667172582,random_no_constants,1,50,10,70,40,30,100,2,80,1
9,val,dummy,MSE,0.13813500106334686,random_no_constants,1,50,10,70,40,30,100,2,80,1
10,val,dummy,Misrankings score,0.5084577114427861,random_no_constants,1,50,10,70,40,30,100,2,80,1
11,val,dummy,Loss,0.6720849637765718,random_no_constants,1,50,10,70,40,30,100,2,80,1
12,tune,transformer,MSE,0.08474460244178772,random_no_constants,1,50,10,70,40,30,100,2,80,1
13,tune,transformer,Misrankings score,0.6945273631840796,random_no_constants,1,50,10,70,40,30,100,2,80,1
14,tune,transformer,Loss,0.817757350718284,random_no_constants,1,50,10,70,40,30,100,2,80,1
15,tune,dummy,MSE,0.13070940971374512,random_no_constants,1,50,10,70,40,30,100,2,80,1
16,tune,dummy,Misrankings score,0.5253731343283582,random_no_constants,1,50,10,70,40,30,100,2,80,1
17,tune,dummy,Loss,0.6548974419378072,random_no_constants,1,50,10,70,40,30,100,2,80,1
18,test,transformer,MSE,0.08474460244178772,random_no_constants,1,50,10,70,40,30,100,2,80,1
19,test,transformer,Misrankings score,0.6945273631840796,random_no_constants,1,50,10,70,40,30,100,2,80,1
20,test,transformer,Loss,0.817757350718284,random_no_constants,1,50,10,70,40,30,100,2,80,1
21,test,dummy,MSE,0.13070940971374512,random_no_constants,1,50,10,70,40,30,100,2,80,1
22,test,dummy,Misrankings score,0.5253731343283582,random_no_constants,1,50,10,70,40,30,100,2,80,1
23,test,dummy,Loss,0.6548974419378072,random_no_constants,1,50,10,70,40,30,100,2,80,1
24,test,ELA,Loss,0.8755561372499829,random_no_constants,1,50,10,70,40,30,100,2,80,1
0,train,transformer,MSE,0.13060149550437927,random_no_constants,2,50,10,20,50,50,80,1,100,3
1,train,transformer,Misrankings score,0.527920227920228,random_no_constants,2,50,10,20,50,50,80,1,100,3
2,train,transformer,Loss,0.6720348446366466,random_no_constants,2,50,10,20,50,50,80,1,100,3
3,train,dummy,MSE,0.12962082028388977,random_no_constants,2,50,10,20,50,50,80,1,100,3
4,train,dummy,Misrankings score,0.5149928774928775,random_no_constants,2,50,10,20,50,50,80,1,100,3
5,train,dummy,Loss,0.6696838824791617,random_no_constants,2,50,10,20,50,50,80,1,100,3
6,val,transformer,MSE,0.1309974044561386,random_no_constants,2,50,10,20,50,50,80,1,100,3
7,val,transformer,Misrankings score,0.5223880597014925,random_no_constants,2,50,10,20,50,50,80,1,100,3
8,val,transformer,Loss,0.6912572834049588,random_no_constants,2,50,10,20,50,50,80,1,100,3
9,val,dummy,MSE,0.130714550614357,random_no_constants,2,50,10,20,50,50,80,1,100,3
10,val,dummy,Misrankings score,0.4918739635157546,random_no_constants,2,50,10,20,50,50,80,1,100,3
11,val,dummy,Loss,0.6599653443037543,random_no_constants,2,50,10,20,50,50,80,1,100,3
12,tune,transformer,MSE,0.13233940303325653,random_no_constants,2,50,10,20,50,50,80,1,100,3
13,tune,transformer,Misrankings score,0.5257048092868989,random_no_constants,2,50,10,20,50,50,80,1,100,3
14,tune,transformer,Loss,0.6345843016927064,random_no_constants,2,50,10,20,50,50,80,1,100,3
15,tune,dummy,MSE,0.12925250828266144,random_no_constants,2,50,10,20,50,50,80,1,100,3
16,tune,dummy,Misrankings score,0.5406301824212272,random_no_constants,2,50,10,20,50,50,80,1,100,3
17,tune,dummy,Loss,0.6689520249713123,random_no_constants,2,50,10,20,50,50,80,1,100,3
18,test,transformer,MSE,0.13233940303325653,random_no_constants,2,50,10,20,50,50,80,1,100,3
19,test,transformer,Misrankings score,0.5257048092868989,random_no_constants,2,50,10,20,50,50,80,1,100,3
20,test,transformer,Loss,0.6345843016927064,random_no_constants,2,50,10,20,50,50,80,1,100,3
21,test,dummy,MSE,0.12925250828266144,random_no_constants,2,50,10,20,50,50,80,1,100,3
22,test,dummy,Misrankings score,0.5406301824212272,random_no_constants,2,50,10,20,50,50,80,1,100,3
23,test,dummy,Loss,0.6689520249713123,random_no_constants,2,50,10,20,50,50,80,1,100,3
24,test,ELA,Loss,0.8398550951420496,random_no_constants,2,50,10,20,50,50,80,1,100,3
0,train,transformer,MSE,0.11863896995782852,random_no_constants,3,50,10,90,40,20,40,2,60,3
1,train,transformer,Misrankings score,0.5246438746438746,random_no_constants,3,50,10,90,40,20,40,2,60,3
2,train,transformer,Loss,0.6900859073521657,random_no_constants,3,50,10,90,40,20,40,2,60,3
3,train,dummy,MSE,0.1309005469083786,random_no_constants,3,50,10,90,40,20,40,2,60,3
4,train,dummy,Misrankings score,0.5211182336182336,random_no_constants,3,50,10,90,40,20,40,2,60,3
5,train,dummy,Loss,0.673193584429704,random_no_constants,3,50,10,90,40,20,40,2,60,3
6,val,transformer,MSE,0.11903955787420273,random_no_constants,3,50,10,90,40,20,40,2,60,3
7,val,transformer,Misrankings score,0.5203980099502488,random_no_constants,3,50,10,90,40,20,40,2,60,3
8,val,transformer,Loss,0.671322826971823,random_no_constants,3,50,10,90,40,20,40,2,60,3
9,val,dummy,MSE,0.13168580830097198,random_no_constants,3,50,10,90,40,20,40,2,60,3
10,val,dummy,Misrankings score,0.5144278606965174,random_no_constants,3,50,10,90,40,20,40,2,60,3
11,val,dummy,Loss,0.6540650443774632,random_no_constants,3,50,10,90,40,20,40,2,60,3
12,tune,transformer,MSE,0.11865929514169693,random_no_constants,3,50,10,90,40,20,40,2,60,3
13,tune,transformer,Misrankings score,0.5067993366500829,random_no_constants,3,50,10,90,40,20,40,2,60,3
14,tune,transformer,Loss,0.7193957077743469,random_no_constants,3,50,10,90,40,20,40,2,60,3
15,tune,dummy,MSE,0.12587183713912964,random_no_constants,3,50,10,90,40,20,40,2,60,3
16,tune,dummy,Misrankings score,0.5157545605306799,random_no_constants,3,50,10,90,40,20,40,2,60,3
17,tune,dummy,Loss,0.6876823402389955,random_no_constants,3,50,10,90,40,20,40,2,60,3
18,test,transformer,MSE,0.11865929514169693,random_no_constants,3,50,10,90,40,20,40,2,60,3
19,test,transformer,Misrankings score,0.5067993366500829,random_no_constants,3,50,10,90,40,20,40,2,60,3
20,test,transformer,Loss,0.7193957077743469,random_no_constants,3,50,10,90,40,20,40,2,60,3
21,test,dummy,MSE,0.12587183713912964,random_no_constants,3,50,10,90,40,20,40,2,60,3
22,test,dummy,Misrankings score,0.5157545605306799,random_no_constants,3,50,10,90,40,20,40,2,60,3
23,test,dummy,Loss,0.6876823402389955,random_no_constants,3,50,10,90,40,20,40,2,60,3
24,test,ELA,Loss,0.8487997678334137,random_no_constants,3,50,10,90,40,20,40,2,60,3
0,train,transformer,MSE,0.08068353682756424,random_no_constants,4,50,10,60,40,40,40,3,60,2
1,train,transformer,Misrankings score,0.6957977207977208,random_no_constants,4,50,10,60,40,40,40,3,60,2
2,train,transformer,Loss,0.8267038969928027,random_no_constants,4,50,10,60,40,40,40,3,60,2
3,train,dummy,MSE,0.13180749118328094,random_no_constants,4,50,10,60,40,40,40,3,60,2
4,train,dummy,Misrankings score,0.5173789173789174,random_no_constants,4,50,10,60,40,40,40,3,60,2
5,train,dummy,Loss,0.6709842067354895,random_no_constants,4,50,10,60,40,40,40,3,60,2
6,val,transformer,MSE,0.08003580570220947,random_no_constants,4,50,10,60,40,40,40,3,60,2
7,val,transformer,Misrankings score,0.7220563847429519,random_no_constants,4,50,10,60,40,40,40,3,60,2
8,val,transformer,Loss,0.8586285118424913,random_no_constants,4,50,10,60,40,40,40,3,60,2
9,val,dummy,MSE,0.13256068527698517,random_no_constants,4,50,10,60,40,40,40,3,60,2
10,val,dummy,Misrankings score,0.5257048092868989,random_no_constants,4,50,10,60,40,40,40,3,60,2
11,val,dummy,Loss,0.6787486139498452,random_no_constants,4,50,10,60,40,40,40,3,60,2
12,tune,transformer,MSE,0.07826926559209824,random_no_constants,4,50,10,60,40,40,40,3,60,2
13,tune,transformer,Misrankings score,0.6985074626865672,random_no_constants,4,50,10,60,40,40,40,3,60,2
14,tune,transformer,Loss,0.8170674376700511,random_no_constants,4,50,10,60,40,40,40,3,60,2
15,tune,dummy,MSE,0.12606006860733032,random_no_constants,4,50,10,60,40,40,40,3,60,2
16,tune,dummy,Misrankings score,0.5615257048092869,random_no_constants,4,50,10,60,40,40,40,3,60,2
17,tune,dummy,Loss,0.6989493413667582,random_no_constants,4,50,10,60,40,40,40,3,60,2
18,test,transformer,MSE,0.07826926559209824,random_no_constants,4,50,10,60,40,40,40,3,60,2
19,test,transformer,Misrankings score,0.6985074626865672,random_no_constants,4,50,10,60,40,40,40,3,60,2
20,test,transformer,Loss,0.8170674376700511,random_no_constants,4,50,10,60,40,40,40,3,60,2
21,test,dummy,MSE,0.12606006860733032,random_no_constants,4,50,10,60,40,40,40,3,60,2
22,test,dummy,Misrankings score,0.5615257048092869,random_no_constants,4,50,10,60,40,40,40,3,60,2
23,test,dummy,Loss,0.6989493413667582,random_no_constants,4,50,10,60,40,40,40,3,60,2
24,test,ELA,Loss,0.8607872781401924,random_no_constants,4,50,10,60,40,40,40,3,60,2
0,train,transformer,MSE,0.13146387040615082,random_no_constants,5,50,10,80,30,40,60,3,60,1
1,train,transformer,Misrankings score,0.5068019943019944,random_no_constants,5,50,10,80,30,40,60,3,60,1
2,train,transformer,Loss,0.6714772590689622,random_no_constants,5,50,10,80,30,40,60,3,60,1
3,train,dummy,MSE,0.12955747544765472,random_no_constants,5,50,10,80,30,40,60,3,60,1
4,train,dummy,Misrankings score,0.5238960113960114,random_no_constants,5,50,10,80,30,40,60,3,60,1
5,train,dummy,Loss,0.6770098185695017,random_no_constants,5,50,10,80,30,40,60,3,60,1
6,val,transformer,MSE,0.13284321129322052,random_no_constants,5,50,10,80,30,40,60,3,60,1
7,val,transformer,Misrankings score,0.5074626865671642,random_no_constants,5,50,10,80,30,40,60,3,60,1
8,val,transformer,Loss,0.6582323379125056,random_no_constants,5,50,10,80,30,40,60,3,60,1
9,val,dummy,MSE,0.13299770653247833,random_no_constants,5,50,10,80,30,40,60,3,60,1
10,val,dummy,Misrankings score,0.5104477611940299,random_no_constants,5,50,10,80,30,40,60,3,60,1
