,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.12133487313985825,random_no_constants,0,50,30,70,50,30,100,2,100,1
1,train,transformer,Misrankings score,0.7686540198735321,random_no_constants,0,50,30,70,50,30,100,2,100,1
2,train,transformer,Loss,0.9583770658516472,random_no_constants,0,50,30,70,50,30,100,2,100,1
3,train,dummy,MSE,0.11683645844459534,random_no_constants,0,50,30,70,50,30,100,2,100,1
4,train,dummy,Misrankings score,0.7634146341463415,random_no_constants,0,50,30,70,50,30,100,2,100,1
5,train,dummy,Loss,0.9659903188730109,random_no_constants,0,50,30,70,50,30,100,2,100,1
6,val,transformer,MSE,0.1140705794095993,random_no_constants,0,50,30,70,50,30,100,2,100,1
7,val,transformer,Misrankings score,0.7718855218855218,random_no_constants,0,50,30,70,50,30,100,2,100,1
8,val,transformer,Loss,0.9663370804836614,random_no_constants,0,50,30,70,50,30,100,2,100,1
9,val,dummy,MSE,0.11234449595212936,random_no_constants,0,50,30,70,50,30,100,2,100,1
10,val,dummy,Misrankings score,0.7735690235690236,random_no_constants,0,50,30,70,50,30,100,2,100,1
11,val,dummy,Loss,0.9724757530192601,random_no_constants,0,50,30,70,50,30,100,2,100,1
12,tune,transformer,MSE,0.1201545000076294,random_no_constants,0,50,30,70,50,30,100,2,100,1
13,tune,transformer,Misrankings score,0.765993265993266,random_no_constants,0,50,30,70,50,30,100,2,100,1
14,tune,transformer,Loss,0.9719656863722762,random_no_constants,0,50,30,70,50,30,100,2,100,1
15,tune,dummy,MSE,0.11651083081960678,random_no_constants,0,50,30,70,50,30,100,2,100,1
16,tune,dummy,Misrankings score,0.7592592592592593,random_no_constants,0,50,30,70,50,30,100,2,100,1
17,tune,dummy,Loss,0.9806213177328876,random_no_constants,0,50,30,70,50,30,100,2,100,1
18,test,transformer,MSE,0.1201545000076294,random_no_constants,0,50,30,70,50,30,100,2,100,1
19,test,transformer,Misrankings score,0.765993265993266,random_no_constants,0,50,30,70,50,30,100,2,100,1
20,test,transformer,Loss,0.9719656863722762,random_no_constants,0,50,30,70,50,30,100,2,100,1
21,test,dummy,MSE,0.11651083081960678,random_no_constants,0,50,30,70,50,30,100,2,100,1
22,test,dummy,Misrankings score,0.7592592592592593,random_no_constants,0,50,30,70,50,30,100,2,100,1
23,test,dummy,Loss,0.9806213177328876,random_no_constants,0,50,30,70,50,30,100,2,100,1
24,test,ELA,Loss,0.9872376866747234,random_no_constants,0,50,30,70,50,30,100,2,100,1
0,train,transformer,MSE,0.10709120333194733,random_no_constants,1,50,30,60,50,40,40,1,20,1
1,train,transformer,Misrankings score,0.7730803974706414,random_no_constants,1,50,30,60,50,40,40,1,20,1
2,train,transformer,Loss,0.9704352047794628,random_no_constants,1,50,30,60,50,40,40,1,20,1
3,train,dummy,MSE,0.11668131500482559,random_no_constants,1,50,30,60,50,40,40,1,20,1
4,train,dummy,Misrankings score,0.7644083107497741,random_no_constants,1,50,30,60,50,40,40,1,20,1
5,train,dummy,Loss,0.9704352047794628,random_no_constants,1,50,30,60,50,40,40,1,20,1
6,val,transformer,MSE,0.10171925276517868,random_no_constants,1,50,30,60,50,40,40,1,20,1
7,val,transformer,Misrankings score,0.7735690235690236,random_no_constants,1,50,30,60,50,40,40,1,20,1
8,val,transformer,Loss,0.9741620301827819,random_no_constants,1,50,30,60,50,40,40,1,20,1
9,val,dummy,MSE,0.10945387929677963,random_no_constants,1,50,30,60,50,40,40,1,20,1
10,val,dummy,Misrankings score,0.7752525252525253,random_no_constants,1,50,30,60,50,40,40,1,20,1
11,val,dummy,Loss,0.9741620301827819,random_no_constants,1,50,30,60,50,40,40,1,20,1
12,tune,transformer,MSE,0.11267512291669846,random_no_constants,1,50,30,60,50,40,40,1,20,1
13,tune,transformer,Misrankings score,0.7466329966329966,random_no_constants,1,50,30,60,50,40,40,1,20,1
14,tune,transformer,Loss,0.9575626624876896,random_no_constants,1,50,30,60,50,40,40,1,20,1
15,tune,dummy,MSE,0.11949044466018677,random_no_constants,1,50,30,60,50,40,40,1,20,1
16,tune,dummy,Misrankings score,0.7382154882154882,random_no_constants,1,50,30,60,50,40,40,1,20,1
17,tune,dummy,Loss,0.9575626624876896,random_no_constants,1,50,30,60,50,40,40,1,20,1
18,test,transformer,MSE,0.11267512291669846,random_no_constants,1,50,30,60,50,40,40,1,20,1
19,test,transformer,Misrankings score,0.7466329966329966,random_no_constants,1,50,30,60,50,40,40,1,20,1
