,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.10073576122522354,random_no_constants,0,50,30,50,40,10,60,1,100,3
1,train,transformer,Misrankings score,0.7178136200716846,random_no_constants,0,50,30,50,40,10,60,1,100,3
2,train,transformer,Loss,0.8192985634291591,random_no_constants,0,50,30,50,40,10,60,1,100,3
3,train,dummy,MSE,0.15927372872829437,random_no_constants,0,50,30,50,40,10,60,1,100,3
4,train,dummy,Misrankings score,0.5301075268817205,random_no_constants,0,50,30,50,40,10,60,1,100,3
5,train,dummy,Loss,0.7051478861031081,random_no_constants,0,50,30,50,40,10,60,1,100,3
6,val,transformer,MSE,0.09343615919351578,random_no_constants,0,50,30,50,40,10,60,1,100,3
7,val,transformer,Misrankings score,0.7276381909547739,random_no_constants,0,50,30,50,40,10,60,1,100,3
8,val,transformer,Loss,0.8547731186429972,random_no_constants,0,50,30,50,40,10,60,1,100,3
9,val,dummy,MSE,0.15274368226528168,random_no_constants,0,50,30,50,40,10,60,1,100,3
10,val,dummy,Misrankings score,0.5179229480737019,random_no_constants,0,50,30,50,40,10,60,1,100,3
11,val,dummy,Loss,0.7265531743093382,random_no_constants,0,50,30,50,40,10,60,1,100,3
12,tune,transformer,MSE,0.10857132077217102,random_no_constants,0,50,30,50,40,10,60,1,100,3
13,tune,transformer,Misrankings score,0.7013333333333334,random_no_constants,0,50,30,50,40,10,60,1,100,3
14,tune,transformer,Loss,0.8088133406711755,random_no_constants,0,50,30,50,40,10,60,1,100,3
15,tune,dummy,MSE,0.15940852463245392,random_no_constants,0,50,30,50,40,10,60,1,100,3
16,tune,dummy,Misrankings score,0.522,random_no_constants,0,50,30,50,40,10,60,1,100,3
17,tune,dummy,Loss,0.6656454559848651,random_no_constants,0,50,30,50,40,10,60,1,100,3
18,test,transformer,MSE,0.10857132077217102,random_no_constants,0,50,30,50,40,10,60,1,100,3
19,test,transformer,Misrankings score,0.7013333333333334,random_no_constants,0,50,30,50,40,10,60,1,100,3
20,test,transformer,Loss,0.8088133406711755,random_no_constants,0,50,30,50,40,10,60,1,100,3
21,test,dummy,MSE,0.15940852463245392,random_no_constants,0,50,30,50,40,10,60,1,100,3
22,test,dummy,Misrankings score,0.522,random_no_constants,0,50,30,50,40,10,60,1,100,3
23,test,dummy,Loss,0.6656454559848651,random_no_constants,0,50,30,50,40,10,60,1,100,3
24,test,ELA,Loss,0.8513894461479731,random_no_constants,0,50,30,50,40,10,60,1,100,3
0,train,transformer,MSE,0.15736860036849976,random_no_constants,1,50,30,30,30,20,20,2,80,1
1,train,transformer,Misrankings score,0.5583154121863799,random_no_constants,1,50,30,30,30,20,20,2,80,1
2,train,transformer,Loss,0.721060580081792,random_no_constants,1,50,30,30,30,20,20,2,80,1
3,train,dummy,MSE,0.1586383730173111,random_no_constants,1,50,30,30,30,20,20,2,80,1
4,train,dummy,Misrankings score,0.5327240143369175,random_no_constants,1,50,30,30,30,20,20,2,80,1
5,train,dummy,Loss,0.7067291891451921,random_no_constants,1,50,30,30,30,20,20,2,80,1
6,val,transformer,MSE,0.15943285822868347,random_no_constants,1,50,30,30,30,20,20,2,80,1
7,val,transformer,Misrankings score,0.5574539363484087,random_no_constants,1,50,30,30,30,20,20,2,80,1
8,val,transformer,Loss,0.6992331032632214,random_no_constants,1,50,30,30,30,20,20,2,80,1
9,val,dummy,MSE,0.16026771068572998,random_no_constants,1,50,30,30,30,20,20,2,80,1
10,val,dummy,Misrankings score,0.5182579564489113,random_no_constants,1,50,30,30,30,20,20,2,80,1
11,val,dummy,Loss,0.6836210250883545,random_no_constants,1,50,30,30,30,20,20,2,80,1
12,tune,transformer,MSE,0.15822634100914001,random_no_constants,1,50,30,30,30,20,20,2,80,1
13,tune,transformer,Misrankings score,0.5723333333333334,random_no_constants,1,50,30,30,30,20,20,2,80,1
14,tune,transformer,Loss,0.723909148523502,random_no_constants,1,50,30,30,30,20,20,2,80,1
15,tune,dummy,MSE,0.1582813262939453,random_no_constants,1,50,30,30,30,20,20,2,80,1
16,tune,dummy,Misrankings score,0.5396666666666666,random_no_constants,1,50,30,30,30,20,20,2,80,1
17,tune,dummy,Loss,0.7231705907875255,random_no_constants,1,50,30,30,30,20,20,2,80,1
18,test,transformer,MSE,0.15822634100914001,random_no_constants,1,50,30,30,30,20,20,2,80,1
19,test,transformer,Misrankings score,0.5723333333333334,random_no_constants,1,50,30,30,30,20,20,2,80,1
20,test,transformer,Loss,0.723909148523502,random_no_constants,1,50,30,30,30,20,20,2,80,1
21,test,dummy,MSE,0.1582813262939453,random_no_constants,1,50,30,30,30,20,20,2,80,1
22,test,dummy,Misrankings score,0.5396666666666666,random_no_constants,1,50,30,30,30,20,20,2,80,1
23,test,dummy,Loss,0.7231705907875255,random_no_constants,1,50,30,30,30,20,20,2,80,1
24,test,ELA,Loss,0.8796874232396383,random_no_constants,1,50,30,30,30,20,20,2,80,1
0,train,transformer,MSE,0.10980263352394104,random_no_constants,2,50,30,20,20,20,20,2,100,3
1,train,transformer,Misrankings score,0.6976702508960574,random_no_constants,2,50,30,20,20,20,20,2,100,3
2,train,transformer,Loss,0.8021113676347573,random_no_constants,2,50,30,20,20,20,20,2,100,3
3,train,dummy,MSE,0.15861795842647552,random_no_constants,2,50,30,20,20,20,20,2,100,3
4,train,dummy,Misrankings score,0.5275627240143369,random_no_constants,2,50,30,20,20,20,20,2,100,3
5,train,dummy,Loss,0.6981099375669239,random_no_constants,2,50,30,20,20,20,20,2,100,3
6,val,transformer,MSE,0.10387762635946274,random_no_constants,2,50,30,20,20,20,20,2,100,3
7,val,transformer,Misrankings score,0.6984924623115578,random_no_constants,2,50,30,20,20,20,20,2,100,3
8,val,transformer,Loss,0.7708805350388225,random_no_constants,2,50,30,20,20,20,20,2,100,3
9,val,dummy,MSE,0.15613417327404022,random_no_constants,2,50,30,20,20,20,20,2,100,3
10,val,dummy,Misrankings score,0.5514237855946399,random_no_constants,2,50,30,20,20,20,20,2,100,3
11,val,dummy,Loss,0.7225093389064152,random_no_constants,2,50,30,20,20,20,20,2,100,3
12,tune,transformer,MSE,0.10335128754377365,random_no_constants,2,50,30,20,20,20,20,2,100,3
